GameID;Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Skor Game;Kill;Death;Assist;Duration;Map;Stage
MSC26_GA_M05_G2;24/07/2026;Blue;Win;Xying;Midlane;Zhuxin;Marcel;Purify;Guangzhou Gaming;True Rippers;2 - 0;2;4;6;17:04;Broken Walls;Group A
MSC26_GA_M05_G2;24/07/2026;Blue;Win;Cy;Goldlane;Claude;Belerick;Purify;Guangzhou Gaming;True Rippers;2 - 0;5;2;9;17:04;Broken Walls;Group A
MSC26_GA_M05_G2;24/07/2026;Blue;Win;Meii;Roamer;Atlas;Alice;Flicker;Guangzhou Gaming;True Rippers;2 - 0;1;4;7;17:04;Broken Walls;Group A
MSC26_GA_M06_G1;24/07/2026;Blue;Win;Sepat;Explane;Freya;Marcel;Vengeance;Team Vamos;Team Spirit;1 - 0;1;3;6;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Blue;Win;Error404;Jungler;Hirara;Paquito;Retribution;Team Vamos;Team Spirit;1 - 0;1;2;8;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Blue;Win;ClawKun;Midlane;Zhuxin;Esmeralda;Flicker;Team Vamos;Team Spirit;1 - 0;4;1;8;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Blue;Win;Natco;Goldlane;Melissa;Moskov;Flicker;Team Vamos;Team Spirit;1 - 0;3;0;6;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Blue;Win;Zqeef;Roamer;Hylos;Belerick;Revitalize;Team Vamos;Team Spirit;1 - 0;3;1;8;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Red;Lose;Kid Bomba;Explane;Phoveus;Atlas;Flicker;Team Spirit;Team Vamos;0 - 1;2;7;2;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Red;Lose;zaur egoist;Jungler;Ling;Fanny;Retribution;Team Spirit;Team Vamos;0 - 1;2;1;3;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Red;Lose;Sunset Lover;Midlane;Valentina;Eudora;Flicker;Team Spirit;Team Vamos;0 - 1;1;1;5;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Red;Lose;Hiko;Goldlane;Claude;Barats;Purify;Team Spirit;Team Vamos;0 - 1;2;1;2;13:39;Flying Clouds;Group A
MSC26_GA_M06_G1;24/07/2026;Red;Lose;Sawo;Roamer;Minotaur;Uranus;Flicker;Team Spirit;Team Vamos;0 - 1;0;2;4;13:39;Flying Clouds;Group A
MSC26_GA_M06_G2;24/07/2026;Red;Win;Sepat;Explane;Esmeralda;Freya;Purify;Team Vamos;Team Spirit;2 - 0;2;2;12;19:23;Expanding Rivers;Group A
